rule_id,API_norm_MF,S_t_MF,SMI_t_MF,Pt_MF,delta_WL_t_MF,rule_output_constant
166,0,1,1,3,1,[-0.04944852  0.38784766  0.4643298   0.5513963   0.26955894  0.99261934]
167,0,1,1,3,2,[ 0.06004837  0.00624325 -0.0108838   0.29261085  0.50257707  0.25981054]
168,0,1,1,3,3,[-0.12172702  0.31681648  0.5661145   0.5943115   0.10072898  0.9695947 ]
169,0,1,1,3,4,[0.08005954 0.331692   0.08333617 0.27135402 0.43478495 0.6101395 ]
170,0,1,1,4,0,[-0.20135213  0.6111722   0.22816943  0.40810615  0.45823386  1.1170413 ]
171,0,1,1,4,1,[-0.5336606   0.08965145  0.4409549   0.48982432 -0.12517859  0.70124125]
172,0,1,1,4,2,[-0.15585946 -0.22846423 -0.26872793  0.190072    0.41705376 -0.11251292]
173,0,1,1,4,3,[-0.69103265 -0.10320884  0.60147005  0.5441598  -0.42572066  0.5785429 ]
174,0,1,1,4,4,[-0.08766995  0.34138802 -0.06346528  0.2033306   0.37393427  0.5576061 ]
175,0,1,2,0,0,[0.06176672 0.6393465  0.2881667  0.47728088 0.6714403  1.1068754 ]
176,0,1,2,0,1,[-0.06546253  0.49299952  0.4859057   0.57137793  0.3795531   1.1036912 ]
177,0,1,2,0,2,[-0.02476368 -0.12347665 -0.12644336  0.26508287  0.53077817 -0.01209243]
178,0,1,2,0,3,[-0.11821926  0.48464942  0.62892425  0.6274402   0.22970483  1.190549  ]
179,0,1,2,0,4,[0.01896282 0.2553652  0.01754501 0.2558046  0.46824333 0.44905847]
180,0,1,2,1,0,[-0.0961184   0.45183495  0.01966797  0.30525035  0.28129873  0.69548106]
181,0,1,2,1,1,[-0.3197184   0.12394907  0.21137036  0.3582899  -0.07442078  0.4929262 ]
182,0,1,2,1,2,[-0.05585923 -0.12496062 -0.39064685  0.16811442  0.22915746 -0.22893177]
183,0,1,2,1,3,"[-4.3103302e-01  4.1123910e-04  3.6292863e-01  3.9096999e-01
 -2.5534844e-01  4.6071389e-01]"
184,0,1,2,1,4,[-0.02488992  0.2578957  -0.17731564  0.16435476  0.21087934  0.29204607]
185,0,1,2,2,0,[0.00727304 0.33295262 0.12727451 0.2951329  0.3098662  0.6070512 ]
186,0,1,2,2,1,[-0.11191988  0.1663503   0.25256047  0.34173715  0.08990934  0.52609706]
187,0,1,2,2,2,[-0.00529316 -0.09764903 -0.1413884   0.18103181  0.25232798 -0.05328669]
188,0,1,2,2,3,[-0.16879125  0.11763903  0.34625334  0.36823022 -0.02302827  0.53506505]
189,0,1,2,2,4,[ 0.01391441  0.15473376 -0.03134967  0.16793482  0.22352578  0.26095396]
190,0,1,2,3,0,[0.12375104 0.5796918  0.27522007 0.48949468 0.5940845  1.0502801 ]
191,0,1,2,3,1,[0.00522121 0.42626587 0.44779146 0.56921226 0.3356115  1.0211598 ]
192,0,1,2,3,2,[ 0.05637262 -0.05473367 -0.08856246  0.30757084  0.47929367  0.10101705]
193,0,1,2,3,3,[-0.048902    0.39974415  0.5716601   0.6130304   0.20023912  1.0741187 ]
194,0,1,2,3,4,[0.07649017 0.26316857 0.03394923 0.28165197 0.41801485 0.47915778]
195,0,1,2,4,0,[-0.18101099  0.53407764  0.14124781  0.42349097  0.46819428  0.9355034 ]
196,0,1,2,4,1,[-0.45429066  0.15321822  0.39833835  0.50990975 -0.01757986  0.7274012 ]
197,0,1,2,4,2,[-0.17558314 -0.34591207 -0.41251016  0.20608398  0.37209633 -0.41392985]
198,0,1,2,4,3,[-0.58031416  0.039849    0.5962268   0.5658858  -0.26113912  0.73772573]
199,0,1,2,4,4,[-0.10402109  0.21572155 -0.15685728  0.21369429  0.34257933  0.31193128]
200,0,1,3,0,0,[0.06165068 0.6338793  0.31095475 0.4643817  0.65975726 1.1289095 ]
201,0,1,3,0,1,[-0.07339077  0.4655526   0.4936286   0.554372    0.35838455  1.0868394 ]
202,0,1,3,0,2,[-0.01336948 -0.09504744 -0.07983969  0.25899628  0.5342706   0.06825765]
203,0,1,3,0,3,[-0.13135487  0.4420481   0.6237566   0.607868    0.20145041  1.1443553 ]
204,0,1,3,0,4,[0.02659512 0.2725672  0.04673677 0.24997024 0.46887347 0.49961215]
205,0,1,3,1,0,[-0.09002833  0.46270454  0.05627726  0.29636285  0.2818385   0.74739623]
206,0,1,3,1,1,[-0.320028    0.11288588  0.23171975  0.3467739  -0.08316685  0.50442654]
207,0,1,3,1,2,[-0.04054108 -0.08170263 -0.3286176   0.16363598  0.24429643 -0.1177883 ]
208,0,1,3,1,3,[-0.43563727 -0.02608799  0.36876193  0.37784854 -0.2713743   0.44080922]
209,0,1,3,1,4,[-0.01389754  0.28661507 -0.13711786  0.16018687  0.22018267  0.36534038]
210,0,1,3,2,0,[0.00849384 0.33485547 0.14542758 0.28664652 0.30575427 0.6295381 ]
211,0,1,3,2,1,[-0.11526153  0.15400429  0.26062787  0.33113587  0.07976869  0.5229132 ]
212,0,1,3,2,2,[ 0.00260965 -0.07420348 -0.10729848  0.17614475  0.25781783  0.00735813]
213,0,1,3,2,3,[-0.17514558  0.09536321  0.3455462   0.35639402 -0.0377519   0.5123087 ]
214,0,1,3,2,4,[ 0.0193963   0.16977999 -0.00971402  0.16357468  0.22636901  0.30001745]
215,0,1,3,3,0,[0.12119988 0.57534784 0.29436794 0.47520387 0.5830939  1.0680361 ]
216,0,1,3,3,1,[-0.00394925  0.40287265  0.453782    0.5515884   0.3164156   1.0050675 ]
217,0,1,3,3,2,[ 0.0636987  -0.02978079 -0.04853794  0.29898942  0.48152298  0.16961914]
218,0,1,3,3,3,[-0.06233982  0.36324576  0.56642497  0.5934993   0.17500521  1.0326208 ]
219,0,1,3,3,4,[0.08113208 0.27826455 0.058846   0.27407324 0.41785794 0.52197015]
220,0,1,3,4,0,[-0.17266442  0.54332465  0.18323831  0.41160572  0.46475586  0.9930922 ]
221,0,1,3,4,1,[-0.45523733  0.13273197  0.4191439   0.49377233 -0.03351664  0.7311665 ]
222,0,1,3,4,2,[-0.15388244 -0.29193845 -0.33714896  0.20121269  0.38834342 -0.27675924]
223,0,1,3,4,3,[-0.5876281  -0.0015579   0.5984297   0.54703224 -0.28681725  0.7000231 ]
224,0,1,3,4,4,[-0.08841015  0.25111744 -0.10852014  0.20880319  0.35234314  0.40166494]
225,0,1,4,0,0,[0.04590917 0.69718444 0.2977307  0.50230944 0.70406157 1.1765223 ]
226,0,1,4,0,1,[-0.10187326  0.5154189   0.5025953   0.60327965  0.369204    1.1354296 ]
227,0,1,4,0,2,[-0.04234022 -0.12847793 -0.13806178  0.27239513  0.5611332  -0.01519097]
228,0,1,4,0,3,[-0.16303343  0.49462426  0.6514574   0.6642685   0.19751176  1.2087826 ]
229,0,1,4,0,4,[0.00931361 0.28844565 0.01402091 0.26600578 0.49645096 0.48699942]
230,0,1,4,1,0,[-0.11842991  0.50413144  0.02183951  0.31821424  0.2872599   0.7613594 ]
231,0,1,4,1,1,[-0.37166125  0.11940631  0.21858685  0.37471342 -0.11856326  0.49568635]
232,0,1,4,1,2,[-0.06824404 -0.11463579 -0.40712568  0.16981739  0.2426779  -0.2110662 ]
233,0,1,4,1,3,[-0.49719793 -0.03065188  0.37465045  0.410243   -0.32558706  0.43271795]
234,0,1,4,1,4,[-0.03210222  0.30325377 -0.18456686  0.16878045  0.22300196  0.34608418]
235,0,1,4,2,0,[-0.00626545  0.3652302   0.13113403  0.30797854  0.31992847  0.64785284]
236,0,1,4,2,1,[-0.14245689  0.16714881  0.260223    0.35775363  0.0686088   0.5323621 ]
237,0,1,4,2,2,[-0.015687   -0.09884034 -0.15042882  0.18462065  0.26476654 -0.05106217]
238,0,1,4,2,3,[-0.207018    0.10512656  0.35718784  0.38663563 -0.06042304  0.52616113]
239,0,1,4,2,4,[ 0.00788618  0.17811272 -0.03477988  0.17319416  0.23510319  0.28896722]
